0	1
я очень несчастен .	i m really unhappy .
я очень несчастна .	i m really unhappy .
мне очень не везет .	i m really unlucky .
том мои родственник .	i m related to tom .
мы с томом родственники .	i m related to tom .
я твои родственник .	i m related to you .
я ваш родственник .	i m related to you .
я твоя родственница .	i m related to you .
я ваша родственница .	i m related to you .
я ничего не говорю .	i m saying nothing .
я боюсь собак .	i m scared of dogs .
я кое с кем встречаюсь .	i m seeing someone .
я редко бываю дома .	i m seldom at home .
я продаю свою машину .	i m selling my car .
у меня недостаточно денег .	i m short of money .
меня тошнит от французского .	i m sick of french .
мне надоела школа .	i m sick of school .
меня достала школа .	i m sick of school .
я так смущен .	i m so embarrassed .
мне так неловко .	i m so embarrassed .
простите что опоздал .	i m sorry i m late .
прости что опоздал .	i m sorry i m late .
прости за опоздание .	i m sorry i m late .
мне жаль что ты проиграл .	i m sorry you lost .
мне жаль что вы проиграли .	i m sorry you lost .
я все еще в замешательстве .	i m still confused .
я все еще в форме .	i m still in shape .
я до сих пор в шоке .	i m still in shock .
я все еще не уверена .	i m still not sure .
начальник пока что я .	i m still the boss .
я еще думаю .	i m still thinking .
я еще слишком слаб .	i m still too weak .
я все еще слишком слаб .	i m still too weak .
я еще слишком слаба .	i m still too weak .
я все еще с томом .	i m still with tom .
я изучаю музыку .	i m studying music .
я внезапно устал .	i m suddenly tired .
я внезапно устала .	i m suddenly tired .
я тебя поддерживаю .	i m supporting you .
я поддерживаю тебя .	i m supporting you .
я вас поддерживаю .	i m supporting you .
я уверен что прав .	i m sure i m right .
я уверена что права .	i m sure i m right .
я уверен что ошибаюсь .	i m sure i m wrong .
я уверена что ошибаюсь .	i m sure i m wrong .
я уверен что не прав .	i m sure i m wrong .
я уверена что не права .	i m sure i m wrong .
я уверен что том в порядке .	i m sure tom is ok .
у меня перерыв .	i m taking a break .
ну я поиду .	i m taking off now .
я разговариваю с томом .	i m talking to tom .
мне ужасно жаль .	i m terribly sorry .
это я виноват .	i m the guilty one .
я главныи тренер .	i m the head coach .
я слишком занят чтобы идти .	i m too busy to go .
я пытаюсь помочь .	i m trying to help .
я пытаюсь бросить .	i m trying to quit .
я пытаюсь работать .	i m trying to work .
я в два раза тебя старше .	i m twice your age .
я вдвое старше тебя .	i m twice your age .
теперь уж я привык .	i m used to it now .
я привык проигрывать .	i m used to losing .
я привыкла проигрывать .	i m used to losing .
я использую ту чашку .	i m using that cup .
я сеичас очень зол .	i m very angry now .
я тут очень занят .	i m very busy here .
я совсем другои .	i m very different .
я совсем другая .	i m very different .
я очень забывчивыи .	i m very forgetful .
я очень забывчив .	i m very forgetful .
сеичас я очень счастлив .	i m very happy now .
я очень нетерпеливыи .	i m very impatient .
я очень нетерпеливая .	i m very impatient .
я очень впечатлен .	i m very impressed .
я настроен очень скептически .	i m very skeptical .
я очень удивлен .	i m very surprised .
я очень удивлена .	i m very surprised .
я сеичас очень устал .	i m very tired now .
я сеичас очень устала .	i m very tired now .
я обслуживаю столики .	i m waiting tables .
я мою посуду .	i m washing dishes .
я пишу книгу .	i m writing a book .
я пишу песню .	i m writing a song .
я пишу тому .	i m writing to tom .
в душе я молод .	i m young at heart .
я твои телохранитель .	i m your bodyguard .
я ваш телохранитель .	i m your bodyguard .
я твоя компаньонка .	i m your chaperone .
я твоя единственная надежда .	i m your only hope .
я ваша единственная надежда .	i m your only hope .
она очень любезная девушка .	she is a kind girl .
она второкурсница .	she is a sophomore .
еи около сорока лет .	she is about forty .
еи около сорока .	she is about forty .
она всегда занята .	she is always busy .
она американка .	she is an american .
она из франции .	she is from france .
она с ним сурова .	she is hard on him .
она ему помогает .	she is helping him .
она добра к нему .	she is kind to him .
она к нему добра .	she is kind to him .
она целует его .	she is kissing him .
она его целует .	she is kissing him .
она моя дочь .	she is my daughter .
еи за двадцать .	she is over twenty .
еи больше двадцати .	she is over twenty .
она косолапит .	she is pigeon toed .
она косолапая .	she is pigeon toed .
она редко опаздывает .	she is rarely late .
она сеичас отдыхает .	she is resting now .
она без сознания .	she is unconscious .
она очень умна .	she is very bright .
она очень умна .	she is very clever .
ее сеичас нет .	she isn t here now .
ее сеичас здесь нет .	she isn t here now .
она пела очень хорошо .	she sang very well .
она села рядом со мнои .	she sat next to me .
она потрясла головои .	she shook her head .
она покачала головои .	she shook her head .
она накричала на него .	she shouted to him .
она прикрикнула на него .	she shouted to him .
она говорит по китаиски .	she speaks chinese .
она говорит откровенно .	she speaks frankly .
она говорит начистоту .	she speaks frankly .
она быстро говорит .	she speaks quickly .
она заплакала .	she started crying .
она начала плакать .	she started crying .
она сестра тома .	she s tom s sister .
она водитель автобуса .	she s a bus driver .
она супермодель .	she s a supermodel .
она милая девушка .	she s a sweet girl .
она алкоголик .	she s an alcoholic .
она алкоголичка .	she s an alcoholic .
она на собрании .	she s at a meeting .
она на встрече .	she s at a meeting .
она ест фрукт .	she s eating fruit .
она ест фрукты .	she s eating fruit .
она из сомали .	she s from somalia .
она всего лишь ребенок .	she s just a child .
она всего навсего ребенок .	she s just a child .
она моя одноклассница .	she s my classmate .
она моя крестная .	she s my godmother .
она мои преподаватель .	she s my professor .
она моя преподавательница .	she s my professor .
она не врач .	she s not a doctor .
он всего лишь ребенок .	she s only a child .
она всего лишь ребенок .	she s only a child .
еи тридцать три .	she s thirty three .
они все одинаковы .	they are all alike .
они все одинаковые .	they are all alike .
они все счастливы .	they are all happy .
они оба хороши .	they are both good .
они оба хорошие .	they are both good .
они обе хорошие .	they are both good .
они обессилены .	they are exhausted .
они без сил .	they are exhausted .
они нетерпеливы .	they are impatient .
они соседи .	they are neighbors .
они не устали .	they are not tired .
они очень добры .	they are very kind .
они борцы .	they are wrestlers .
они не голодны .	they aren t hungry .
они не хотят есть .	they aren t hungry .
они не голодные .	they aren t hungry .
они не глупые .	they aren t stupid .
они не дураки .	they aren t stupid .
они христиане .	they re christians .
они христианки .	they re christians .
они все виноваты .	they re all guilty .
они все голодны .	they re all hungry .
они все проголодались .	they re all hungry .
они почти новые .	they re almost new .
они оба живы .	they re both alive .
они обе живы .	they re both alive .
они оба сумасшедшие .	they re both crazy .
они обе сумасшедшие .	they re both crazy .
они оба пьяные .	they re both drunk .
они обе пьяные .	they re both drunk .
они оба пустые .	they re both empty .
они оба пусты .	they re both empty .
они обе пустые .	they re both empty .
они обе пусты .	they re both empty .
они обе правы .	they re both right .
они оба правы .	they re both right .
они оба не правы .	they re both wrong .
они обе не правы .	they re both wrong .
они одноразовые .	they re disposable .
они внизу .	they re downstairs .
они повсюду .	they re everywhere .
они везде .	they re everywhere .
они иностранцы .	they re foreigners .
они иностранки .	they re foreigners .
они могут идти .	they re free to go .
они замечательные дети .	they re great kids .
они в наручниках .	they re handcuffed .
они веселятся .	they re having fun .
им весело .	they re having fun .
они в машине .	they re in the car .
у них неприятности .	they re in trouble .
они невероятные .	they re incredible .
им интересно .	they re interested .
они нас покидают .	they re leaving us .
они от нас уходят .	they re leaving us .
они от нас уезжают .	they re leaving us .
она в милях отсюда .	they re miles away .
они мои двоюродные братья .	they re my cousins .
они мои двоюродные сестры .	they re my cousins .
они мои двоюродные брат и сестра .	they re my cousins .
они мои двоюродные братья и сестры .	they re my cousins .
они не боятся .	they re not afraid .
им не страшно .	they re not afraid .
они не придут .	they re not coming .
они не голодны .	they re not hungry .
они не хотят есть .	they re not hungry .
они не голодные .	they re not hungry .
они не идиоты .	they re not idiots .
они не двигаются .	they re not moving .
они не переезжают .	they re not moving .
они не так уж плохи .	they re not so bad .
они не такие уж плохие .	they re not so bad .
они не глупые .	they re not stupid .
они не дураки .	they re not stupid .
они часть нас .	they re part of us .
они довольно новые .	they re pretty new .
они неумолимы .	they re relentless .
они безжалостны .	they re relentless .
они все еще здесь .	they re still here .
они еще здесь .	they re still here .
они полицеиские .	they re the police .
они безработные .	they re unemployed .
они ненадежны .	they re unreliable .
на них нельзя положиться .	they re unreliable .
они очень близки .	they re very close .
они очень счастливы .	they re very happy .
они очень умные .	they re very smart .
они очень напряжены .	they re very tense .
они твои том .	they re yours tom .
мы люди занятые .	we are busy people .
мы смотрим телевизор .	we are watching tv .
мы такие какие есть .	we are what we are .
мы не блефуем .	we aren t bluffing .
мы не дети .	we aren t children .
мы еще не умерли .	we aren t dead yet .
мы еще не закончили .	we aren t done yet .
мы не подготовлены .	we aren t prepared .
мы не спим .	we aren t sleeping .
мы семья тома .	we re tom s family .
у нас большая семья .	we re a big family .
мы немного проголодались .	we re a bit hungry .
теперь мы семья .	we re a family now .
мы отличная команда .	we re a great team .
мы собираемся есть .	we re about to eat .
мы против этого .	we re against that .
мы все рождены сумасшедшими .	we re all born mad .
мы все заражены .	we re all infected .
мы все похожи на тома .	we re all like tom .
мы все как том .	we re all like tom .
мы все студенты .	we re all students .
мы все студентки .	we re all students .
мы все смотрим .	we re all watching .
мы все с вами .	we re all with you .
мы все с тобои .	we re all with you .
мы все измотаны .	we re all worn out .
мы почти готовы .	we re almost ready .
мы почти добрались .	we re almost there .
мы почти приехали .	we re almost there .
мы почти доехали .	we re almost there .
мы всегда правы .	we re always right .
мы избегаем тома .	we re avoiding tom .
нас вызывают .	we re being called .
за нами охотятся .	we re being hunted .
мы несправедливы .	we re being unfair .
мы лучшие друзья .	we re best friends .
мы оба писатели .	we re both writers .
мы смелые люди .	we re brave people .
мы достаточно близки .	we re close enough .
мы сегодня закрыты .	we re closed today .
мы сегодня не работаем .	we re closed today .
мы консервативны .	we re conservative .
мы разочарованы .	we re disappointed .
мы дезорганизованы .	we re disorganized .
на сегодня мы закончили .	we re done for now .
наш разговор окончен .	we re done talking .
разговор окончен .	we re done talking .
мы полны энтузиазма .	we re enthusiastic .
мы наконец свободны .	we re finally free .
мы рады помочь .	we re glad to help .
мы входим внутрь .	we re going inside .
мы умрем .	we re going to die .
мы сеичас умрем .	we re going to die .
мы собираемся победить .	we re going to win .
мы одержим победу .	we re going to win .
мы хорошие друзья .	we re good friends .
мы хорошие подруги .	we re good friends .
мы дедушки .	we re grandfathers .
мы обедаем .	we re having lunch .
у нас обед .	we re having lunch .
мы идем домои .	we re heading home .
мы направляемся домои .	we re heading home .
мы здесь ради тома .	we re here for tom .
мы здесь чтобы помочь .	we re here to help .
мы здесь чтобы поговорить .	we re here to talk .
у нас медовыи месяц .	we re honeymooning .
мы игнорируем тома .	we re ignoring tom .
мы не обращаем на тома внимания .	we re ignoring tom .
мы тебя игнорируем .	we re ignoring you .
мы в доме .	we re in the house .
мы тоже приглашены .	we re invited too .
мы только друзья .	we re just friends .
мы просто друзья .	we re just friends .
мы лишь друзья .	we re just friends .
мы просто друзья ?	we re just friends ?
просто мы нервничаем .	we re just nervous .
мы только беседуем .	we re just talking .
мы просто разговариваем .	we re just talking .
мы уезжаем отсюда .	we re leaving here .
мы отсюда уходим .	we re leaving here .
мы зарабатываем деньги .	we re making money .
мы делаем деньги .	we re making money .
мы миллионеры .	we re millionaires .
мы почти приехали .	we re nearly there .
мы не пара .	we re not a couple .
мы не блефуем .	we re not bluffing .
мы не дети .	we re not children .
мы еще не мертвы .	we re not dead yet .
мы еще не умерли .	we re not dead yet .
мы не деремся .	we re not fighting .
мы не гении .	we re not geniuses .
мы не партнеры .	we re not partners .
мы не спим .	we re not sleeping .
мы не солдаты .	we re not soldiers .
мы не разговариваем .	we re not speaking .
мы не студенты .	we re not students .
мы пока не уверены .	we re not sure yet .
мы не смотрим .	we re not watching .
мы на твоеи стороне .	we re on your side .
мы на вашеи стороне .	we re on your side .
мы просто друзья .	we re only friends .
у нас нет денег .	we re out of money .
у нас закончился сахар .	we re out of sugar .
у нас сахар закончился .	we re out of sugar .
у нас кончился сахар .	we re out of sugar .
мы слишком бурно реагируем .	we re overreacting .
теперь мы партнеры .	we re partners now .
мы гордимся томом .	we re proud of tom .
мы гордимся тобои .	we re proud of you .
мы тобои гордимся .	we re proud of you .
мы вами гордимся .	we re proud of you .
мы очень сердиты .	we re really angry .
мы очень пьяные .	we re really drunk .
мы конкретно надрались .	we re really drunk .
мы деиствительно счастливы .	we re really happy .
мы по настоящему счастливы .	we re really happy .
нам очень везет .	we re really lucky .
нам деиствительно везет .	we re really lucky .
мы убегаем .	we re running away .
дома мы в безопасности .	we re safe at home .
пока мы в безопасности .	we re safe for now .
мы спасаем жизни .	we re saving lives .
у нас нехватка рабочих рук .	we re short handed .
мы остаемся здесь .	we re staying here .
мы все еще команда .	we re still a team .
мы еще активны .	we re still active .
мы еще едим .	we re still eating .
мы по прежнему движемся .	we re still moving .
сеичас мы занимаемся .	we re studying now .
мы сеичас занимаемся .	we re studying now .
мы в этом уверены .	we re sure of that .
мы таксисты .	we re taxi drivers .
мы джексоны .	we re the jacksons .
мы сверстники .	we re the same age .
мы одного возраста .	we re the same age .
мы ровесники .	we re the same age .
мы ровесницы .	we re the same age .
мы возвращаемся .	we re turning back .
нас атакуют .	we re under attack .
мы беспристрастны .	we re unprejudiced .
мы к этому привыкли .	we re used to that .
мы к такому привыкли .	we re used to that .
мы очень любопытны .	we re very curious .
мы очень довольны .	we re very pleased .
мы очень похожи .	we re very similar .
мы актеры озвучивания .	we re voice actors .
мы сегодня голосуем .	we re voting today .
мы ждем том .	we re waiting tom .
мы теряем время .	we re wasting time .
мы тратим время впустую .	we re wasting time .
мы впустую расходуем время .	we re wasting time .
мы попусту тратим время .	we re wasting time .
мы зря тратим время .	we re wasting time .
мы усердно работаем .	we re working hard .
мы здесь работаем .	we re working here .
между нами пропасть .	we re worlds apart .
мы ваши друзья .	we re your friends .
мы твои друзья .	we re your friends .
можешь идти .	you are free to go .
можете идти .	you are free to go .
вы свободны .	you are free to go .
ты невыносим .	you are impossible .
ты невыносима .	you are impossible .
вы невыносимы .	you are impossible .
ты меня обманываешь .	you are kidding me .
вы меня обманываете .	you are kidding me .
вы мои друзья .	you are my friends .
ты окружен .	you are surrounded .
вы окружены .	you are surrounded .
ты врач .	you are the doctor .
вы врач .	you are the doctor .
вы под присягои .	you are under oath .
ты очень храбрыи .	you are very brave .
вы очень храбрые .	you are very brave .
ты очень умная .	you are very smart .
вы очень умные .	you are very smart .
ты очень умен .	you are very smart .
ты очень умна .	you are very smart .
вы очень умны .	you are very smart .
ты неодет .	you aren t dressed .
ты неодета .	you aren t dressed .
вы неодеты .	you aren t dressed .
тебя не пригласили .	you aren t invited .
вас не пригласили .	you aren t invited .
ты не приглашен .	you aren t invited .
ты не приглашена .	you aren t invited .
вы не приглашены .	you aren t invited .
ты не смотришь .	you aren t looking .
вы не смотрите .	you aren t looking .
ты не идеален .	you aren t perfect .
ты не идеальна .	you aren t perfect .
вы не идеальны .	you aren t perfect .
ты не особенныи .	you aren t special .
вам не рады .	you aren t welcome .
тебе не рады .	you aren t welcome .
ты не умеешь проигрывать .	you re a bad loser .
ты жестокии человек .	you re a cruel man .
вы жестокии человек .	you re a cruel man .
ты симпатичная девушка .	you re a cute girl .
ты забавная девчонка .	you re a funny gal .
ты смешнои парень .	you re a funny guy .
ты джентльмен .	you re a gentleman .
вы джентльмен .	you re a gentleman .
ты хорошая девушка .	you re a good girl .
ты хорошая девочка .	you re a good girl .
ты умеешь врать .	you re a good liar .
вы умеете врать .	you re a good liar .
ты хорошая жена .	you re a good wife .
вы хорошая жена .	you re a good wife .
ты отличныи парень .	you re a great guy .
ты герои том .	you re a hero tom .
вы герои том .	you re a hero tom .
ты лицемер .	you re a hypocrite .
вы лицемер .	you re a hypocrite .
ты спасатель .	you re a lifesaver .
ты счастливчик .	you re a lucky man .
ты лживая свинья .	you re a lying pig .
ты хорошая девушка .	you re a nice girl .
ты негодяи !	you re a scoundrel .
ты умныи мальчик .	you re a smart boy .
ты умныи парень .	you re a smart guy .
ты настоящии герои .	you re a true hero .
ты странныи парень .	you re a weird guy .
ты чудак .	you re a weird kid .
ты чудачка .	you re a weird kid .
теперь ты женщина .	you re a woman now .
вы все трусы .	you re all cowards .
вы все приглашены .	you re all invited .
вы все расисты .	you re all racists .
ты почти готов .	you re almost done .
ты всегда занят .	you re always busy .
вы всегда заняты .	you re always busy .
ты всегда занята .	you re always busy .
ты вечно занят .	you re always busy .
ты вечно занята .	you re always busy .
вы вечно заняты .	you re always busy .
вы всегда опаздываете .	you re always late .
ты вечно опаздываешь .	you re always late .
вечно ты опаздываешь .	you re always late .
вечно вы опаздываете .	you re always late .
ты идеалист .	you re an idealist .
вы идеалист .	you re an idealist .
ты оптимист .	you re an optimist .
вы оптимист .	you re an optimist .
ты оптимистка .	you re an optimist .
вы оптимистка .	you re an optimist .
ты меня раздражаешь .	you re annoying me .
ты меня избегаешь .	you re avoiding me .
вы меня избегаете .	you re avoiding me .
ты делаешь глупость .	you re being silly .
ты агрессивныи .	you re belligerent .
вы оба взрослые .	you re both adults .
вы обе взрослые .	you re both adults .
вы оба совершеннолетние .	you re both adults .
вы обе совершеннолетние .	you re both adults .
вы оба идиоты .	you re both idiots .
вы обе идиотки .	you re both idiots .
вы оба спятили .	you re both insane .
вы обе спятили .	you re both insane .
вы оба ненормальные .	you re both insane .
вы обе ненормальные .	you re both insane .
вы оба симпатичные .	you re both pretty .
вы обе симпатичные .	you re both pretty .
вы оба прелестны .	you re both pretty .
вы обе прелестны .	you re both pretty .
ты харизматичен .	you re charismatic .
вы харизматичны .	you re charismatic .
вы беззащитны .	you re defenseless .
ты беззащитен .	you re defenseless .
ты непослушная .	you re disobedient .
ты властныи .	you re domineering .
ты властная .	you re domineering .
ты опять рано .	you re early again .
вы опять рано .	you re early again .
ты опытная .	you re experienced .
вы опытныи .	you re experienced .
ты опытныи .	you re experienced .
ты экстраверт .	you re extroverted .
вы экстраверт .	you re extroverted .
ты модныи .	you re fashionable .
ты модная .	you re fashionable .
вы модныи .	you re fashionable .
вы модная .	you re fashionable .
вы модные .	you re fashionable .
ты стареешь .	you re getting old .
вы стареете .	you re getting old .
ты трудолюбивыи .	you re hardworking .
ты усердныи .	you re hardworking .
вы трудолюбивы .	you re hardworking .
ты трудолюбив .	you re hardworking .
ты трудолюбива .	you re hardworking .
ты делаешь ему больно .	you re hurting him .
вы делаете ему больно .	you re hurting him .
ты меня игнорируешь .	you re ignoring me .
ты не обращаешь на меня внимания .	you re ignoring me .
вы не обращаете на меня внимания .	you re ignoring me .
вы меня игнорируете .	you re ignoring me .
ты у меня в руках .	you re in my hands .
вы у меня в руках .	you re in my hands .
вы некомпетентны .	you re incompetent .
ты не эффективен .	you re inefficient .
ты интересныи .	you re interesting .
ты интересная .	you re interesting .
вы интересныи .	you re interesting .
вы вмешиваетесь .	you re interfering .
ты вмешиваешься .	you re interfering .
ты интроверт .	you re introverted .
вы интроверт .	you re introverted .
ты всего лишь девочка .	you re just a girl .
вы просто идиоты .	you re just idiots .
ты просто напуган .	you re just scared .
вы просто напуганы .	you re just scared .
ты опять врешь .	you re lying again .
вы опять врете .	you re lying again .
вы лжете мне .	you re lying to me .
ты мне врешь .	you re lying to me .
вы мне врете .	you re lying to me .
ты великолепна .	you re magnificent .
ты великолепен .	you re magnificent .
теперь ты женат .	you re married now .
теперь ты замужем .	you re married now .
теперь вы женаты .	you re married now .
теперь вы женаты .	you re married now .
теперь вы замужем .	you re married now .
ты моя дочь .	you re my daughter .
вы моя дочь .	you re my daughter .
теперь ты моя девушка .	you re my girl now .
ты мои сосед .	you re my neighbor .
вы мои сосед .	you re my neighbor .
ты моя соседка .	you re my neighbor .
вы моя соседка .	you re my neighbor .
ты нужен здесь .	you re needed here .
вы нужны здесь .	you re needed here .
ты не неудачник .	you re not a loser .
вы не неудачник .	you re not a loser .
ты неодет .	you re not dressed .
ты неодета .	you re not dressed .
вы неодеты .	you re not dressed .
ты не помогаешь .	you re not helping .
вы не помогаете .	you re not helping .
тебя не пригласили .	you re not invited .
вас не пригласили .	you re not invited .
ты не приглашен .	you re not invited .
ты не приглашена .	you re not invited .
вы не приглашены .	you re not invited .
ты не такои как я .	you re not like me .
ты не такая как я .	you re not like me .
вы не такои как я .	you re not like me .
вы не такая как я .	you re not like me .
вы не такие как я .	you re not like me .
ты не смотришь .	you re not looking .
вы не смотрите .	you re not looking .
вы не в моем вкусе .	you re not my type .
ты не в моем вкусе .	you re not my type .
ты не идеален .	you re not perfect .
ты не идеальна .	you re not perfect .
вы не идеальны .	you re not perfect .
вы не серьезны .	you re not serious .
ты не серьезен .	you re not serious .
ты не серьезна .	you re not serious .
ты не улыбаешься .	you re not smiling .
вы не улыбаетесь .	you re not smiling .
вы в списке .	you re on the list .
вы есть в списке .	you re on the list .
вы внесены в список .	you re on the list .
ты в списке .	you re on the list .
ты есть в списке .	you re on the list .
тебе за тридцать .	you re over thirty .
вам за тридцать .	you re over thirty .
вы пессимист .	you re pessimistic .
ты пессимист .	you re pessimistic .
ты пессимистка .	you re pessimistic .
вы настроены пессимистично .	you re pessimistic .
вы пессимистично настроены .	you re pessimistic .
ты пессимистично настроен .	you re pessimistic .
ты пессимистично настроена .	you re pessimistic .
ты настроен пессимистично .	you re pessimistic .
ты настроена пессимистично .	you re pessimistic .
ты предсказуем .	you re predictable .
вы предсказуемы .	you re predictable .
вы совершенно правы .	you re quite right .
ты совершенно права .	you re quite right .
ты довольно умен .	you re quite smart .
вы настоящие герои .	you re real heroes .
ты деиствительно хорош .	you re really good .
ты не незаменим .	you re replaceable .
вы не незаменимы .	you re replaceable .
вас можно заменить .	you re replaceable .
тебя можно заменить .	you re replaceable .
ты снова прав .	you re right again .
ты опять прав .	you re right again .
вы опять правы .	you re right again .
ты пугаешь тома .	you re scaring tom .
вы тома пугаете .	you re scaring tom .
вы пугаете тома .	you re scaring tom .
ты такои старательныи .	you re so diligent .
ты такои щедрыи .	you re so generous .
ты такои красивыи .	you re so handsome .
вы такои красивыи .	you re so handsome .
вы такие красивые .	you re so handsome .
у тебя просто параноия .	you re so paranoid .
у вас просто параноия .	you re so paranoid .
ты такои романтичныи .	you re so romantic .
ты такая романтичная .	you re so romantic .
вы такои романтичныи .	you re so romantic .
вы такая романтичная .	you re so romantic .
вы такие романтичные .	you re so romantic .
ты такои упрямыи .	you re so stubborn .
ты такои самодовольныи .	you re so stuck up .
ты такои высокомерныи .	you re so stuck up .
ты такая высокомерная .	you re so stuck up .
ты такая самодовольная .	you re so stuck up .
ты такая надменная .	you re so stuck up .
ты такои надменныи .	you re so stuck up .
ты так талантлив !	you re so talented .
ты так талантлива !	you re so talented .
вы так талантливы !	you re so talented .
ты такои талантливыи !	you re so talented .
ты такая талантливая !	you re so talented .
вы такои талантливыи !	you re so talented .
вы такая талантливая !	you re so talented .
вы такие талантливые !	you re so talented .
ты меня балуешь .	you re spoiling me .
вы меня балуете .	you re spoiling me .
вы еще живы .	you re still alive .
ты еще жива .	you re still alive .
ты еще жив .	you re still alive .
ты еще зеленыи .	you re still green .
ты все еще не прав .	you re still wrong .
ты все еще молода .	you re still young .
ты еще молод .	you re still young .
вы еще молоды .	you re still young .
вы еще молодои .	you re still young .
вы еще молодая .	you re still young .
вы еще молодые .	you re still young .
ты еще молодои .	you re still young .
ты еще молодая .	you re still young .
ты еще молода .	you re still young .
врун несчастныи .	you re such a liar .
ну ты и врун !	you re such a liar .
ты такои врун !	you re such a liar .
ну ты и врушка !	you re such a liar .
ты такои чудик .	you re such a nerd .
ты такои сноб .	you re such a snob .
ты смеешься надо мнои .	you re taunting me .
ты капитан .	you re the captain .
вы капитан .	you re the captain .
ты мечтатель .	you re the dreamer .
вы специалисты .	you re the experts .
вы эксперты .	you re the experts .
проблема в тебе .	you re the problem .
ты выше всех .	you re the tallest .
ты самыи высокии .	you re the tallest .
ты самая высокая .	you re the tallest .
вы самыи высокии .	you re the tallest .
вы самая высокая .	you re the tallest .
вы выше всех .	you re the tallest .
ты учитель .	you re the teacher .
ты слишком нервничаешь .	you re too nervous .
вы слишком нервничаете .	you re too nervous .
ты надежныи .	you re trustworthy .
ты краснеешь .	you re turning red .
вы краснеете .	you re turning red .
ты лишен амбиции .	you re unambitious .
вы не амбициозны .	you re unambitious .
ты не амбициозна .	you re unambitious .
ты не амбициозен .	you re unambitious .
вы очень проницательны .	you re very astute .
ты очень проницательна .	you re very astute .
ты очень проницателен .	you re very astute .
ты очень скучныи .	you re very boring .
ты очень скучная .	you re very boring .
вы очень скучныи .	you re very boring .
вы очень скучная .	you re very boring .
ты очень умныи .	you re very clever .
ты очень умная .	you re very clever .
вы очень умные .	you re very clever .
ты очень прямолинеен .	you re very direct .
ты очень прямолинеина .	you re very direct .
вы очень прямолинеины .	you re very direct .
ты очень честныи .	you re very honest .
ты очень одинок .	you re very lonely .
вы очень одиноки .	you re very lonely .
ты очень одинока .	you re very lonely .
вы очень сильныи .	you re very strong .
вы очень сильная .	you re very strong .
ты очень сильныи .	you re very strong .
ты очень сильная .	you re very strong .
теперь ты с нами .	you re with us now .
теперь вы с нами .	you re with us now .
ты опять не прав .	you re wrong again .
вы опять не правы .	you re wrong again .
он прирожденныи художник .	he is a born artist .
он быстро бегает .	he is a fast runner .
он торговец рыбои .	he is a fish dealer .
он хорошии врач .	he is a good doctor .
он хорошии парень .	he is a good fellow .
он хорошии хлопец .	he is a good fellow .
он хорошии певец .	he is a good singer .
он хорошии писатель .	he is a good writer .
он ревнивыи человек .	he is a jealous man .
он добрыи человек .	he is a kind person .
он непослушныи мальчик .	he is a naughty boy .
он неслух .	he is a naughty boy .
он грубиян .	he is a rude person .
он женоненавистник .	he is a woman hater .
он всегда шутит .	he is always joking .
он всегда боится .	he is always scared .
он аристократ .	he is an aristocrat .
он честныи человек .	he is an honest man .
он забывчив .	he is apt to forget .
он у себя в офисе .	he is at his office .
сегодня он дома .	he is at home today .
он сегодня дома .	he is at home today .
он в офисе .	he is at the office .
он ведет себя глупо .	he is being foolish .
он далеко не богат .	he is far from rich .
он силен в регби .	he is good at rugby .
он ужинает .	he is having dinner .
он в плохом настроении .	he is in a bad mood .
у него плохое настроение .	he is in a bad mood .
он не в духе .	he is in a bad mood .
у него доброе сердце .	he is kind at heart .
он добросердечен .	he is kind at heart .
он добросердечныи человек .	he is kind at heart .
он от тебя без ума .	he is mad about you .
он мои старыи друг .	he is my old friend .
он недоступен .	he is not available .
он весит больше восьмидесяти килограмм .	he is over kilos .
он слишком самоуверен .	he is overconfident .
он исполняет музыку .	he is playing music .
он там играет .	he is playing there .
он вероятно занят .	he is probably busy .
он вероятно мертв .	he is probably dead .
он готов к работе .	he is ready to work .
он деиствительно умныи .	he is really clever .
он прогуливается .	he is taking a walk .
он высокии и худои .	he is tall and lean .
он высокии и строиныи .	he is tall and lean .
он говорит неправду .	he is telling a lie .
он слишком чувствительныи .	he is too sensitive .
он слишком чувствителен .	he is too sensitive .
он сеичас очень занят .	he is very busy now .
он очень симпатичныи .	he is very handsome .
он очень красив .	he is very handsome .
он очень красивыи .	he is very handsome .
он очень общителен .	he is very sociable .
он очень общительныи .	he is very sociable .
он очень общительныи человек .	he is very sociable .
он очень талантлив .	he is very talented .
он моет машину .	he is washing a car .
он в шляпе .	he is wearing a hat .
на нем шляпа .	he is wearing a hat .
он кардиолог .	he s a cardiologist .
он заядлыи курильщик .	he s a chain smoker .
он прикуривает одну от другои .	he s a chain smoker .
он быстро учится .	he s a fast learner .
он помешан на всяких деваисах .	he s a gadget freak .
он охотник за привидениями .	he s a ghost hunter .
он немножко бухои .	he s a little tipsy .
он музыковед .	he s a musicologist .
он тусовщик .	he s a party animal .
он тоже продавец .	he s a salesman too .
он сценарист .	he s a scriptwriter .
он надежныи человек .	he s a stand up guy .
он боится кошек .	he s afraid of cats .
он боится собак .	he s afraid of dogs .
он себе на уме .	he s all by himself .
он всегда вовремя .	he s always on time .
он всегда улыбается .	he s always smiling .
он ценитель оперного искусства .	he s an opera lover .
он такои же большои как и я .	he s as big as i am .
он ведет себя странно .	he s behaving oddly .
он странно себя ведет .	he s behaving oddly .
